table_name,column_name,data_type,is_required,primary_key,min_cell_count,description
es_sccs_result,covariate_id,int,Yes,Yes,No,A foreign key referencing the sccs_covariate table. The identifier for the covariate of interest.
es_sccs_result,evidence_synthesis_analysis_id,int,Yes,Yes,No,A foreign key referencing the es_analysis table.
es_sccs_result,rr,float,No,No,No,The estimated relative risk (i.e. the incidence rate ratio).
es_sccs_result,ci_95_lb,float,No,No,No,The lower bound of the 95% confidence interval of the relative risk.
es_sccs_result,ci_95_ub,float,No,No,No,The upper bound of the 95% confidence interval of the relative risk.
es_sccs_result,p,float,No,No,No,The two-sided p-value considering the null hypothesis of no effect.
es_sccs_result,one_sided_p,float,No,No,No,The one-sided p-value considering the null hypothesis of RR <= 1.
es_sccs_result,outcome_subjects,int,Yes,No,Yes,The number of subjects with at least one outcome.
es_sccs_result,outcome_events,int,Yes,No,Yes,The number of outcome events.
es_sccs_result,outcome_observation_periods,int,Yes,No,Yes,The number of observation periods containing at least one outcome.
es_sccs_result,covariate_subjects,int,Yes,No,Yes,The number of subjects having the covariate.
es_sccs_result,covariate_days,int,Yes,No,Yes,The total covariate time in days.
es_sccs_result,covariate_eras,int,Yes,No,Yes,The number of continuous eras of the covariate.
es_sccs_result,covariate_outcomes,int,Yes,No,Yes,The number of outcomes observed during the covariate time.
es_sccs_result,observed_days,int,Yes,No,Yes,The number of days subjects were observed.
es_sccs_result,n_databases,int,Yes,No,No,The number of databases that contributed to the meta-analytic estimate.
es_sccs_result,log_rr,float,No,No,No,The log of the relative risk.
es_sccs_result,se_log_rr,float,No,No,No,The standard error of the log of the relative risk.
es_sccs_result,calibrated_rr,float,No,No,No,The calibrated relative risk.
es_sccs_result,calibrated_ci_95_lb,float,No,No,No,The lower bound of the calibrated 95% confidence interval of the relative risk.
es_sccs_result,calibrated_ci_95_ub,float,No,No,No,The upper bound of the calibrated 95% confidence interval of the relative risk.
es_sccs_result,calibrated_p,float,No,No,No,The calibrated two-sided p-value.
es_sccs_result,calibrated_one_sided_p,float,No,No,No,The calibrated one-sided p-value considering the null hypothesis of RR <= 1.
es_sccs_result,calibrated_log_rr,float,No,No,No,The log of the calibrated relative risk.
es_sccs_result,calibrated_se_log_rr,float,No,No,No,The standard error of the log of the calibrated relative risk.
